COD_EMPRESA;COD_ITEM;QUANTIDADE;CUSTO_MEDIO;CUSTO_PRESENTE;DATA_ULT_VENDA;DATA_ULT_COMPRA
732;1135670;4;29,93;32,15;11/12/2009;26/05/2009
732;1135673;9;66,79;66,41;15/12/2009;24/12/2009
732;1135675;6;217,66;217,44;14/09/2009;15/12/2009
732;1135677;5;50,74;51,68;19/11/2009;15/12/2009
732;1135679;7;12,58;13,83;20/11/2009;16/12/2009
732;1135680;11;12,71;13,83;22/12/2009;16/12/2009
732;1135682;11;11,61;12,59;12/12/2009;16/12/2009
732;1135683;5;11,73;12,59;14/12/2009;16/12/2009
732;1135684;8489;8,54;11,14;31/12/2009;18/12/2009
732;1135685;7;86,15;88,28;18/09/2009;18/12/2009
732;1135686;1;54,14;56,91;22/12/2009;02/11/2009
732;1135687;7;120,14;127,27;25/11/2009;30/12/2009
732;1135688;7;117,09;128,79;04/12/2009;09/12/2009
732;1135689;2;26,39;29,77;04/11/2009;10/11/2009
732;1135690;18;18,39;18,11;25/11/2009;15/12/2009
732;1135691;12;9,7;10,25;14/12/2009;16/12/2009
732;1135692;622;4,25;4,41;28/12/2009;16/12/2009
732;1135693;1;28,91;24,53;30/07/2009;04/01/2008
732;1135695;1;481,13;429,58;05/04/2008;23/06/2008
732;1135696;5;146,13;115,04;18/07/2009;28/11/2009
732;1135698;2;88,02;86,45;;05/01/2008
732;1135699;1;32,28;31,62;19/12/2009;04/01/2008
732;1135700;9;34,8;39,63;04/04/2008;03/11/2009
732;1135701;1;88,02;86,46;;05/01/2008
732;1135702;2;18,64;18,2;;04/01/2008
732;1135703;6;2,4;2,36;17/11/2009;17/11/2009
732;1135704;1;119,6;117,48;;05/01/2008
732;1135705;26;8,39;8,9;22/12/2009;16/12/2009
732;1135706;2;40,19;43,77;23/12/2009;07/12/2009
732;1135707;12;12,93;12,96;22/12/2009;16/12/2009
732;1135708;2;97,94;97,2;28/11/2009;10/11/2009
732;1135709;50;19,93;21,59;30/12/2009;14/12/2009
732;1135710;1;10,25;10,23;04/12/2009;27/10/2009
732;1135711;1;31,49;35,19;30/10/2009;30/10/2009
732;1135713;1;32,31;31,65;;04/01/2008
732;1135714;3;90,38;85,9;28/04/2009;07/05/2009
732;1135715;2;30,68;35,19;30/10/2009;30/10/2009
732;1135716;3;198,49;208,59;18/02/2009;31/03/2009
732;1135718;3;38,06;39,54;18/06/2008;25/03/2009
732;1135720;10;6,69;6,69;19/10/2009;10/11/2009
732;1135721;13;5,66;5,68;12/11/2009;16/12/2009
732;1135722;1;55,25;52,58;16/10/2009;15/12/2009
732;1135724;2;1,06;1,32;;30/09/2009
732;1135725;29;9,64;10,25;23/11/2009;03/11/2009
732;1135726;3;9,13;13,16;12/11/2008;02/11/2009
732;1135727;1;30,51;33,23;27/03/2009;10/11/2009
732;1135728;1;3,93;3,84;;30/09/2009
732;1135729;2;40,05;38,34;31/10/2009;08/07/2009
732;1135730;1;16,93;26,79;29/07/2009;23/01/2009
732;1135731;24;25,1;25,97;16/07/2009;18/06/2009
732;1135733;1;24,32;26,51;24/07/2009;30/12/2009
732;1135734;1;12,41;13,51;09/11/2009;17/04/2009
732;1135735;1;29,56;29,06;12/08/2009;31/08/2009
732;1135737;13;15,75;15,36;29/12/2009;15/12/2009
732;1135738;2;27,08;29,06;31/10/2009;08/12/2009
732;1135739;2;12,66;13,51;26/08/2009;10/07/2009
732;1135740;3;26,31;29,06;28/10/2009;02/11/2009
732;1135741;25;15,74;15,36;30/12/2009;15/12/2009
732;1135743;3;51,27;55,9;23/07/2009;06/04/2009
732;1135744;22;9,99;10,64;14/12/2009;02/11/2009
732;1135745;347;5,52;4,99;31/08/2009;15/12/2009
732;1135746;2;17,2;17,19;21/08/2009;10/11/2009
732;1135749;6;29,99;31,71;08/05/2009;16/09/2009
732;1135751;2;28,31;31,71;31/10/2008;06/04/2009
732;1135754;3;34,82;37,24;14/12/2009;23/12/2008
732;1135755;3;28,71;31,71;14/05/2009;07/05/2009
732;1135756;9;19,46;21,73;28/12/2009;15/12/2009
732;1135757;1;53,16;52,07;;05/01/2008
732;1135759;4;71,61;72,35;28/10/2009;02/11/2009
732;1135760;15;18,26;21,53;30/12/2009;16/12/2009
732;1135761;4;6,34;6,25;25/06/2009;08/07/2009
732;1135762;17;17,94;21,53;28/11/2009;16/12/2009
732;1135763;2;7,44;7,45;19/11/2009;17/10/2009
732;1135764;2;3,8;3,71;25/06/2009;23/12/2008
732;1135765;3;11,34;19,59;11/03/2008;15/12/2009
