COD_EMPRESA;COD_ITEM;PRATELEIRA;ESCANINHO_GAVETA;CORREDOR
732;1135670;41;B;
732;1135673;22;E;
732;1135675;22;F;
732;1135677;22;E;
732;1135679;20;C;
732;1135680;20;C;
732;1135682;20;D;
732;1135683;20;D;
732;1135684;80;S;
732;1135685;80;S;
732;1135686;16;F;
732;1135687;14;D;
732;1135688;80;S;
732;1135689;72;A;
732;1135690;11;C;
732;1135691;74;B;
732;1135692;33;C;
732;1135693;74;E;
732;1135695;28;E;
732;1135696;28;F;
732;1135698;58;A;
732;1135699;56;C;
732;1135700;76;A;
732;1135701;57;D;
732;1135702;76;A;
732;1135703;9;D;
732;1135704;61;F;
732;1135705;20;D;
732;1135706;22;G;
732;1135707;30;A;
732;1135708;22;C;
732;1135709;31;F;
732;1135710;41;E;
732;1135711;59;B;
732;1135713;29;A;
732;1135714;23;F;
732;1135715;59;B;
732;1135716;59;A;
732;1135718;22;B;
732;1135720;71;F;
732;1135721;20;A;
732;1135722;12;B;4
732;1135724;5;B;
732;1135725;66;F;
732;1135726;30;B;
732;1135727;59;B;
732;1135728;65;A;
732;1135729;11;A;
732;1135730;31;F;
732;1135731;32;D;
732;1135733;20;E;
732;1135734;69;C;
732;1135735;27;F;
732;1135737;20;A;
732;1135738;27;F;
732;1135739;69;C;
732;1135740;27;F;
732;1135741;20;B;
732;1135743;26;E;
732;1135744;19;A;
732;1135745;29;E;
732;1135746;29;D;
732;1135749;24;B;
732;1135751;24;B;
732;1135754;22;E;
732;1135755;24;B;
732;1135756;30;E;
732;1135757;27;E;
732;1135759;26;A;
732;1135760;20;F;
732;1135761;68;F;
732;1135762;20;F;
732;1135763;73;G;
732;1135764;74;A;
732;1135765;80;S;
732;1135766;13;F;
732;1135768;32;C;
732;1135769;26;D;
732;1135772;26;D;
732;1135784;36;C;
732;1135785;40;B;
732;1135787;40;B;
732;1135789;29;E;
732;1135791;28;F;
732;1135793;28;F;
732;1135804;22;D;
732;1135824;40;A;
732;1135844;40;B;
732;1135865;43;A;
732;1135885;40;B;
732;1135905;68;E;
732;1135906;67;C;
732;1135925;74;C;
732;1135984;75;E;
732;1136004;70;C;
732;1136024;39;E;
732;1136044;39;F;
732;1136064;50;A;
732;1136084;29;B;
732;1136104;41;A;
732;1136124;75;A;
732;1136144;74;A;
732;1136164;75;A;
732;1136185;75;A;
732;1136204;66;B;
732;1136225;11;B;
732;1136245;10;C;
732;1136267;10;L;
732;1136286;34;E;
732;1136345;40;A;
732;1136347;71;B;
732;1136354;40;A;
732;1136367;41;B;
732;1136368;36;D;
732;1136369;36;B;
732;1136370;39;B;
732;1136371;43;C;
732;1136373;42;F;
732;1136384;73;E;
732;1136386;70;E;
732;1136387;44;D;
732;1136388;39;C;
732;1136390;41;C;
732;1136391;74;C;
732;1136392;38;A;
732;1136395;39;F;
732;1136396;39;F;
732;1136399;35;A;
732;1136401;35;A;
732;1136402;46;D;
732;1136403;44;D;
732;1136404;44;C;
732;1136405;34;C;
732;1136407;40;E;
732;1136409;70;D;
732;1136411;40;F;
732;1136412;39;F;
732;1136413;36;D;
732;1136415;43;F;
732;1136416;51;E;
732;1136418;51;F;
732;1136423;42;D;
732;1136424;51;C;
732;1136431;40;D;
732;1136434;50;E;
732;1136438;74;D;
732;1136439;64;F;
732;1136440;64;B;
732;1136441;64;C;
732;1136442;50;E;
732;1136446;80;S;
732;1136447;49;D;
732;1136448;49;E;
732;1136449;49;E;
732;1136452;43;B;
732;1136453;23;C;
732;1136454;23;C;
732;1136455;48;D;
732;1136456;45;D;
732;1136457;45;B;
732;1136482;45;C;
732;1136484;44;E;
732;1136485;11;B;
732;1136486;46;B;
732;1136488;41;A;
732;1136490;65;F;
732;1136491;65;E;
732;1136500;65;D;
732;1136501;13;C;
732;1136502;13;J;
732;1136511;35;F;
732;1136513;39;D;
732;1136514;49;A;
732;1136515;40;F;
732;1136516;49;B;
732;1136517;11;I;
732;1136518;11;G;
732;1136519;64;E;
732;1136521;64;E;
732;1136522;35;D;
732;1136523;34;C;
732;1136524;40;F;
732;1136525;34;E;
732;1136527;76;A;
732;1136528;76;A;
732;1136528;9;A;4
732;1136529;49;B;
732;1136531;76;A;
732;1136546;8;B;
732;1136548;48;B;
732;1136550;48;B;
732;1136551;50;D;
732;1136554;29;B;
732;1136555;61;B;
732;1136556;61;B;
732;1136557;65;E;
732;1136558;49;D;
732;1136559;49;A;
732;1136560;73;F;
732;1136562;48;F;
732;1136563;44;C;
732;1136564;9;I;
732;1136567;41;D;
732;1136568;9;B;
732;1136569;37;E;
732;1136573;38;A;
732;1136575;39;E;
732;1136576;39;B;
732;1136577;35;F;
732;1136578;35;F;
732;1136581;36;F;
732;1136582;37;F;
732;1136585;37;E;
732;1136586;61;A;
732;1136587;29;D;
732;1136590;40;D;
732;1136593;21;A;
732;1136605;40;A;
732;1136607;44;C;
732;1136608;44;D;
732;1136609;10;K;
732;1136610;71;F;
732;1136612;51;A;
732;1136613;43;D;
732;1136618;38;C;
732;1136619;34;B;
732;1136620;40;E;
732;1136621;64;E;
732;1136622;39;D;
732;1136704;48;F;
732;1136705;48;D;
732;1137104;80;S;
732;1137109;80;S;
732;1137114;68;C;
732;1137115;10;I;
732;1137124;66;D;
732;1137127;42;E;
732;1137264;80;S;
732;1142064;37;E;
732;1142065;39;C;
732;1142066;29;C;
732;1144214;68;E;
732;1144268;69;D;
732;1144273;11;C;
732;1144296;9;C;
732;1144356;73;C;
732;1144393;70;C;
732;1144551;70;C;
732;1144553;75;F;
732;1144555;71;D;
732;1144562;75;G;
732;1144563;75;G;
732;1144566;68;F;
732;1144567;68;F;
732;1144569;80;S;
732;1144571;80;S;
732;1144573;75;G;
732;1144577;80;S;
732;1144578;74;G;
732;1144586;71;E;
732;1144587;80;S;
732;1144588;80;S;
732;1144589;80;S;
732;1144598;70;C;
732;1144659;69;D;
732;1144668;69;E;
732;1144669;69;E;
732;1144702;66;D;
732;1144753;70;E;
732;1144822;70;E;
732;1144966;75;F;
732;1144968;70;D;
732;1144969;70;D;
732;1144970;66;D;
732;1144976;66;C;
732;1145006;66;E;
732;1145099;72;C;
732;1145107;30;F;
732;1145109;48;C;
732;1145200;73;B;
732;1145271;31;C;
732;1145368;76;A;
732;1145418;72;G;
732;1145469;75;F;
732;1145493;75;E;
732;1145529;74;E;
732;1145530;11;C;
732;1145615;30;F;
732;1145624;70;D;
732;1145636;73;B;
732;1145637;11;C;
732;1145686;73;D;
732;1145831;9;L;
732;1145846;68;E;
732;1145847;69;E;
732;1145850;66;D;
732;1145851;80;S;
732;1145854;80;S;
732;1145858;9;0;1
732;1145863;71;C;
732;1145865;72;D;
732;1145866;70;E;
732;1145868;80;S;
732;1146228;23;E;
732;1146229;23;E;
732;1146230;23;E;
732;1146231;23;E;
732;1146234;23;E;
732;1146239;23;E;
732;1146240;23;E;
732;1146241;23;E;
732;1146242;23;E;
732;1146243;23;D;
732;1146244;23;D;
732;1146247;23;D;
732;1146248;23;D;
732;1146249;23;D;
732;1146250;23;D;
732;1146253;23;D;
732;1146259;23;D;
732;1146261;23;D;
732;1146264;22;C;
732;1146265;21;C;
732;1146268;23;D;
732;1146275;23;D;
732;1146276;23;C;
732;1146277;23;C;
732;1146285;14;F;
732;1146286;23;B;
732;1146287;23;B;
732;1146295;14;F;
732;1146297;14;F;
732;1146298;14;F;
732;1146300;14;F;
732;1146301;23;B;
732;1146316;14;E;
732;1146327;14;E;
732;1146330;14;D;
732;1146331;23;B;
732;1146340;14;B;
732;1146341;14;C;
732;1146343;14;B;
732;1146347;23;B;
732;1146348;23;B;
732;1146349;14;B;
732;1146350;14;B;
732;1146351;14;B;
732;1146353;14;B;
732;1146354;14;B;
732;1146355;14;B;
732;1146356;14;B;
732;1146357;14;A;
732;1146358;14;A;
732;1146359;14;A;
732;1146361;14;A;
732;1146363;14;A;
732;1146369;14;A;
732;1146374;14;A;
732;1146382;14;A;
732;1146385;15;F;
732;1146386;15;F;
732;1146396;15;F;
732;1146399;23;A;
732;1146403;15;E;
732;1146404;15;E;
732;1146405;15;D;
732;1146406;15;D;
732;1146409;15;B;
732;1146410;15;B;
732;1146414;16;E;
732;1146415;16;D;
732;1146416;16;C;
732;1146419;16;B;
732;1146420;23;A;
732;1146421;17;F;
732;1146422;16;A;
732;1146423;16;A;
732;1146424;16;A;
732;1146426;17;E;
732;1146427;17;E;
732;1146428;17;E;
732;1146430;17;E;
732;1146432;17;E;
732;1146435;17;D;
732;1146436;17;C;
732;1146438;17;A;
732;1146439;17;G;
732;1146440;18;E;
732;1146442;18;C;
732;1146445;116;B;1
732;1146445;18;B;
732;1146446;23;A;
732;1146447;23;A;
732;1146448;23;A;
732;1146449;23;A;
732;1146451;23;A;
732;1146452;23;A;
732;1146456;18;B;
732;1146457;18;B;
732;1146459;18;B;
732;1146465;18;B;
732;1146466;18;A;
732;1146468;18;A;
732;1146470;18;B;
732;1146471;18;A;
732;1146473;18;A;
732;1146481;19;F;
732;1146483;19;F;
732;1146484;19;F;
732;1146485;19;E;
732;1146487;19;E;
732;1146489;19;E;
732;1146490;80;S;
732;1146491;80;S;
732;1146492;80;S;
732;1146493;80;S;
732;1146494;19;E;
732;1146500;19;E;
