COD_ITEM;NUM_REFERENCIA;DESCRICAO_ITEM;COD_CLASSIFICACAO_FISCAL;IND_SUBSTITUICAO;PERCENTUAL_IPI;PIS_COFINS_ISENTO;PRECO_VENDA;PRECO_REPOSICAO
1135670;5HHH432000;BLOCO OPTICO CONJUNTO;70140000;S;0;N;61,69;30,86
1135673;1S4H357200;CAIXA INF. DO VELOCIMETRO;90299010;S;0;S;127,47;63,76
1135675;1S4H353E00;CAIXA SUPERIOR DO MEDIDOR;90299010;S;0;S;350;
1135677;1S4H355900;CAPA DOS MEDIDORES;90299010;S;0;S;90,97;45,5
1135679;1S4F746100;ESTRIBO DIREITO;87141900;S;0;N;24,15;12,08
1135680;1S4F745100;ESTRIBO ESQUERDO;87141900;S;0;N;24,15;12,08
1135681;9420716W10;CAMARA DE AR (MA-16);40139000;S;0;N;37,29;18,65
1135682;1S4F744100;ESTRIBO TRASEIRO DIREITO;87141900;S;0;N;24,15;12,08
1135683;1S4F743100;ESTRIBO TRASEIRO ESQUERDO;87141900;S;0;N;24,15;12,08
1135684;90793AB401;OLEO YAMALUBE 4T (1L) SAE 20W5;27101932;S;0;N;16;
1135685;9410716W09;PNEU DIANTEIRO (70/90 MA-16);40114000;S;0;N;180,09;90,08
1135686;1S4F151100P1;PARA-LAMA DIANT. VM (DRMK);87141900;S;0;N;99,28;49,66
1135687;1S4E471800;PROTETOR DO ESCAPAMENTO 1;87141900;S;0;N;244,26;122,18
1135688;9410816W11;PNEU TRASEIRO (80/90 MA-16);40114000;S;0;N;181;
1135689;3FY8391201;ALAVANCA ESQUERDA;87141900;S;12;N;56,56;28,29
1135690;1S4F314500;RETENTOR DE OLEO DO GARFO;40169990;S;0;N;40;17,39
1135691;5LWH391210;ALAVANCA ESQUERDA (NEO AT115);87141900;S;12;N;19,64;9,82
1135692;9470000822;VELA DE IGNICAO  (DR8EA);85111000;S;0;S;11,17;4,41
1135693;5MXF530K00;KIT SAPATA DO FREIO;87141900;S;12;N;63,08;31,55
1135694;5HH1418500;BOIA DO CARBURADOR;84099190;S;5;S;85,97;43
1135695;5FL8210001;BAT XT660R GT9B-4;85071000;S;15;S;800;
1135696;1S4H210000;BAT FAZER/LANDER  YTX7L-BS;85071000;S;15;S;210;
1135697;9321054803;ANEL DE BORRACHA;40169300;S;8;N;15;15
1135698;5VKF633500;CABO DE EMBREAGEM;87141900;S;12;N;195,7;97,89
