COD_EMPRESA;NUM_TITULO;ORDEM_PARCELA;SITUACAO_TITULO;ORIGEM_TITULO;SEQUENCIA_NF;DESCRICAO_TITULO;DATA_EMISSAO;DATA_VENCIMENTO;VALOR_TITULO;VALOR_PAGO;COD_PESSOA_TITULO
732;1963019;1;Pago;Nota Fiscal;2481720;VENDA DE VEÍCULO;07/01/2008;07/01/2008;2000;2000;364783
732;1963020;2;Pago;Nota Fiscal;2481720;VENDA DE VEÍCULO;07/01/2008;12/01/2008;8800;8800;364783
732;1964281;1;Pago;Nota Fiscal;2483091;VENDA DE VEÍCULO;08/01/2008;13/01/2008;7000;7000;100258
732;1964282;2;Pago;Nota Fiscal;2483091;VENDA DE VEÍCULO;08/01/2008;08/01/2008;4500;4500;100258
732;1964367;1;Pago;Nota Fiscal;2483189;VENDA DE VEÍCULO;08/01/2008;08/01/2008;10000;10000;309547
732;1964368;2;Pago;Nota Fiscal;2483189;VENDA DE VEÍCULO;08/01/2008;08/01/2008;1300;1300;309547
732;1968579;1;Pago;Nota Fiscal;2487295;VENDA DE VEÍCULO;10/01/2008;10/01/2008;24800;24800;163344
732;1968594;1;Pago;Nota Fiscal;2487303;VENDA DE VEÍCULO;10/01/2008;10/01/2008;10400;10400;738176
732;1968595;2;Pago;Nota Fiscal;2487303;VENDA DE VEÍCULO;10/01/2008;10/01/2008;990;990;738176
732;1969581;1;Pago;Nota Fiscal;2488092;VENDA DE VEÍCULO;10/01/2008;10/01/2008;11200;11200;738499
732;1972379;1;Pago;Nota Fiscal;2491170;VENDA DE VEÍCULO;14/01/2008;19/01/2008;6228;6228;15315
732;1972911;1;Pago;Nota Fiscal;2491761;PARCELA NORMAL DE PEÇA;14/01/2008;11/02/2008;695,98;695,98;89356
732;1972914;1;Pago;Nota Fiscal;2491769;PARCELA NORMAL DE PEÇA;14/01/2008;11/02/2008;848,42;848,42;89356
732;1973387;1;Pago;Nota Fiscal;2492210;PARCELA NORMAL DE PEÇA;14/01/2008;11/02/2008;57;57;299004
732;1973388;2;Pago;Nota Fiscal;2492210;PARCELA NORMAL DE PEÇA;14/01/2008;10/03/2008;57;57;299004
732;1974479;1;Pago;Nota Fiscal;2493326;VENDA DE VEÍCULO;15/01/2008;20/01/2008;10800;10800;740602
732;1976632;0;Pago;Antecipações;;Recebimento antecipado;16/01/2008;17/01/2008;-668,8;-668,8;742403
732;1977059;1;Pago;Nota Fiscal;2496249;PARCELA NORMAL DE SERVICO;16/01/2008;13/02/2008;101,98;101,98;15315
732;1977060;2;Pago;Nota Fiscal;2496249;PARCELA NORMAL DE SERVICO;16/01/2008;12/03/2008;99;99;15315
732;1977061;3;Pago;Nota Fiscal;2496249;PARCELA NORMAL DE SERVICO;16/01/2008;09/04/2008;99;99;15315
732;1977137;1;Pago;Nota Fiscal;2496325;VENDA DE VEÍCULO;16/01/2008;16/01/2008;2000;2000;742276
732;1977138;2;Pago;Nota Fiscal;2496325;VENDA DE VEÍCULO;16/01/2008;21/01/2008;9270;9270;742276
732;1977845;1;Pago;Nota Fiscal;2497051;VENDA DE VEÍCULO;17/01/2008;17/01/2008;500;500;742286
732;1977846;2;Pago;Nota Fiscal;2497051;VENDA DE VEÍCULO;17/01/2008;17/01/2008;3000;3000;742286
732;1977847;3;Pago;Nota Fiscal;2497051;VENDA DE VEÍCULO;17/01/2008;22/01/2008;7990;7990;742286
732;1980512;1;Pago;Nota Fiscal;2499889;VENDA DE VEÍCULO;18/01/2008;18/01/2008;10500;10500;742436
732;1981648;1;Pago;Nota Fiscal;2501271;VENDA DE VEÍCULO;21/01/2008;26/01/2008;6856;6856;743017
732;1981724;1;Pago;Nota Fiscal;2501334;VENDA DE VEÍCULO;21/01/2008;21/01/2008;8000;8000;744038
732;1981725;2;Pago;Nota Fiscal;2501334;VENDA DE VEÍCULO;21/01/2008;26/01/2008;3920;3920;744038
732;1981969;1;Pago;Nota Fiscal;2501566;VENDA DE VEÍCULO;21/01/2008;26/01/2008;6808;6808;745376
732;1982071;1;Pago;Nota Fiscal;2501679;PARCELA NORMAL DE PEÇA;21/01/2008;18/02/2008;37,91;37,91;742304
732;1982138;1;Pago;Nota Fiscal;2501738;VENDA DE VEÍCULO;21/01/2008;26/01/2008;7678;7678;744934
732;1982291;1;Pago;Nota Fiscal;2501874;VENDA DE VEÍCULO;21/01/2008;26/01/2008;7580;7580;743597
732;1982980;1;Pago;Nota Fiscal;2502581;PARCELA NORMAL DE SERVICO;21/01/2008;18/02/2008;88;88;742276
732;1982981;2;Pago;Nota Fiscal;2502581;PARCELA NORMAL DE SERVICO;21/01/2008;17/03/2008;86;86;742276
732;1982982;3;Pago;Nota Fiscal;2502581;PARCELA NORMAL DE SERVICO;21/01/2008;14/04/2008;86;86;742276
732;1983778;1;Pago;Nota Fiscal;2503617;VENDA DE VEÍCULO;22/01/2008;22/01/2008;10800;10800;746746
732;1983856;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;22/01/2008;22/01/2008;10800;10800;746746
732;1985606;1;Pago;Nota Fiscal;2505666;VENDA DE VEÍCULO;23/01/2008;28/01/2008;10500;10500;746934
732;1985607;2;Pago;Nota Fiscal;2505666;VENDA DE VEÍCULO;23/01/2008;23/01/2008;890;890;746934
732;1988730;1;Pago;Nota Fiscal;2509025;VENDA DE VEÍCULO;24/01/2008;29/01/2008;7528;7528;747423
732;1990484;1;Pago;Nota Fiscal;2510882;VENDA DE VEÍCULO;25/01/2008;30/01/2008;6060;6060;747376
732;1990609;1;Pago;Nota Fiscal;2511060;VENDA DE VEÍCULO;25/01/2008;25/01/2008;3000;3000;745640
732;1990610;2;Pago;Nota Fiscal;2511060;VENDA DE VEÍCULO;25/01/2008;30/01/2008;8624;8624;745640
732;1990730;1;Pago;Nota Fiscal;2511247;PARCELA NORMAL DE RECEBIMENTO COMISSAO;25/01/2008;01/02/2008;300;300;745640
732;1990732;1;Pago;Pedido Direto;;VENDA DE VEICULO DIRETO;25/01/2008;25/01/2008;3300;3300;679274
732;1992713;1;Pago;Nota Fiscal;2513650;VENDA DE VEÍCULO;28/01/2008;02/02/2008;11916;11916;747813
732;1993755;1;Pago;Nota Fiscal;2514962;VENDA DE VEÍCULO;29/01/2008;03/02/2008;7528;7528;748377
732;1993850;1;Pago;Nota Fiscal;2515100;VENDA DE VEÍCULO;29/01/2008;03/02/2008;9490;9490;748219
732;1993851;2;Pago;Nota Fiscal;2515100;VENDA DE VEÍCULO;29/01/2008;29/01/2008;980;980;748219
732;1993852;3;Pago;Nota Fiscal;2515100;VENDA DE VEÍCULO;29/01/2008;29/01/2008;920;920;748219
732;1994120;1;Pago;Nota Fiscal;2515361;VENDA DE VEÍCULO;29/01/2008;03/02/2008;11200;11200;748461
732;1994253;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;29/01/2008;31/01/2008;766;766;747813
732;1995176;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;30/01/2008;30/01/2008;3690;3690;97993
732;1995977;1;Pago;Nota Fiscal;2517490;PARCELA NORMAL DE RECEBIMENTO;30/01/2008;06/02/2008;1683,81;1683,81;60908
732;1996150;1;Pago;Nota Fiscal;2517639;PARCELA NORMAL DE PEÇA;30/01/2008;27/02/2008;182,8;182,8;748803
732;1996151;2;Pago;Nota Fiscal;2517639;PARCELA NORMAL DE PEÇA;30/01/2008;26/03/2008;181;181;748803
732;1996152;3;Pago;Nota Fiscal;2517639;PARCELA NORMAL DE PEÇA;30/01/2008;23/04/2008;181;181;748803
732;1996446;1;Pago;Nota Fiscal;2517875;VENDA DE VEÍCULO;30/01/2008;04/02/2008;6500;6500;748579
732;1996447;2;Pago;Nota Fiscal;2517875;VENDA DE VEÍCULO;30/01/2008;30/01/2008;3900;3900;748579
732;1997543;1;Pago;Nota Fiscal;2519179;PARCELA NORMAL DE SERVICO;31/01/2008;15/03/2008;56;56;708
732;1997775;1;Pago;Nota Fiscal;2519472;VENDA DE VEÍCULO;31/01/2008;31/01/2008;6000;6000;747769
732;1997844;1;Pago;Nota Fiscal;2519592;PARCELA NORMAL DE RECEBIMENTO COMISSAO;31/01/2008;07/02/2008;500;500;742286
732;1997845;1;Pago;Pedido Direto;;VENDA DE VEICULO DIRETO;31/01/2008;31/01/2008;3500;3500;97993
732;1998294;1;Pago;Nota Fiscal;2520015;PARCELA NORMAL DE RECEBIMENTO;31/01/2008;28/02/2008;591;591;60908
732;1999833;1;Pago;Nota Fiscal;2522180;VENDA DE VEÍCULO;01/02/2008;01/02/2008;580;580;749136
