COD_EMPRESA;NUM_TITULO;ORDEM_PARCELA;SITUACAO_TITULO;ORIGEM_TITULO;SEQUENCIA_NF;DESCRICAO_TITULO;DATA_EMISSAO;DATA_VENCIMENTO;VALOR_TITULO;VALOR_PAGO;COD_PESSOA_TITULO
732;3140892;2;Em aberto;Nota Fiscal;3520906;VENDA DE VEÍCULO;21/09/2009;21/09/2009;18500;;171383
732;3141273;1;Pago;Nota Fiscal;3521323;PARCELA NORMAL DE PEÇA;21/09/2009;19/10/2009;307,02;307,02;1009636
732;3141274;2;Pago;Nota Fiscal;3521323;PARCELA NORMAL DE PEÇA;21/09/2009;16/11/2009;305;305;1009636
732;3141275;3;Pago;Nota Fiscal;3521323;PARCELA NORMAL DE PEÇA;21/09/2009;14/12/2009;305;305;1009636
732;3141304;1;Parcialmente Pago;Nota Fiscal;3521348;VENDA DE VEÍCULO;21/09/2009;21/09/2009;6900;4300;1403635
732;3141347;1;Pago;Nota Fiscal;3521402;PARCELA NORMAL DE PEÇA;21/09/2009;19/10/2009;182,3;182,3;1148820
732;3141348;2;Pago;Nota Fiscal;3521402;PARCELA NORMAL DE PEÇA;21/09/2009;16/11/2009;181;181;1148820
732;3141430;1;Pago;Nota Fiscal;3521480;PARCELA NORMAL DE PEÇA;21/09/2009;19/10/2009;121,3;121,3;1148820
732;3141431;2;Pago;Nota Fiscal;3521480;PARCELA NORMAL DE PEÇA;21/09/2009;16/11/2009;121;121;1148820
732;3141432;3;Pago;Nota Fiscal;3521480;PARCELA NORMAL DE PEÇA;21/09/2009;14/12/2009;121;121;1148820
732;3141505;0;Em aberto;Antecipações;;Recebimento antecipado;21/09/2009;21/09/2009;-1000;;1406060
732;3141871;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;21/09/2009;21/09/2009;74;74;1103443
732;3142778;1;Pago;Nota Fiscal;3522919;PARCELA NORMAL DE PEÇA;22/09/2009;20/10/2009;500,13;500,13;865157
732;3142779;2;Pago;Nota Fiscal;3522919;PARCELA NORMAL DE PEÇA;22/09/2009;17/11/2009;500;500;865157
732;3142780;3;Pago;Nota Fiscal;3522919;PARCELA NORMAL DE PEÇA;22/09/2009;15/12/2009;500;500;865157
732;3143504;1;Pago;Nota Fiscal;3523691;PARCELA NORMAL DE PEÇA;22/09/2009;20/10/2009;141,18;141,18;982977
732;3143505;2;Pago;Nota Fiscal;3523691;PARCELA NORMAL DE PEÇA;22/09/2009;17/11/2009;140;140;982977
732;3143506;3;Pago;Nota Fiscal;3523691;PARCELA NORMAL DE PEÇA;22/09/2009;15/12/2009;140;140;982977
732;3144173;1;Pago;Nota Fiscal;3524326;PARCELA NORMAL DE PEÇA;22/09/2009;20/10/2009;63,22;63,22;915957
732;3145094;1;Pago;Nota Fiscal;3525414;VENDA DE VEÍCULO;23/09/2009;23/09/2009;2700;2700;928857
732;3145095;2;Pago;Nota Fiscal;3525414;VENDA DE VEÍCULO;23/09/2009;28/09/2009;4800;4800;928857
732;3146227;1;Em aberto;Nota Fiscal;3526528;VENDA DE VEÍCULO;23/09/2009;23/10/2009;7741;;1410620
732;3147453;1;Pago;Nota Fiscal;3527835;VENDA DE VEÍCULO;24/09/2009;24/09/2009;500;500;1405740
732;3147454;2;Pago;Nota Fiscal;3527835;VENDA DE VEÍCULO;24/09/2009;29/09/2009;6400;6400;1405740
732;3147598;1;Pago;Nota Fiscal;3527965;PARCELA NORMAL DE PEÇA;24/09/2009;22/10/2009;157,03;157,03;749109
732;3148144;1;Pago;Nota Fiscal;3528565;PARCELA NORMAL DE PEÇA;24/09/2009;22/10/2009;159,11;159,11;749109
732;3149035;1;Pago;Nota Fiscal;3529372;VENDA DE VEÍCULO;24/09/2009;24/09/2009;2000;2000;1409020
732;3149036;2;Pago;Nota Fiscal;3529372;VENDA DE VEÍCULO;24/09/2009;29/09/2009;4850;4850;1409020
732;3149388;1;Pago;Nota Fiscal;3529757;PARCELA NORMAL DE PEÇA;24/09/2009;22/10/2009;138,01;138,01;982977
732;3149389;2;Pago;Nota Fiscal;3529757;PARCELA NORMAL DE PEÇA;24/09/2009;19/11/2009;138;138;982977
732;3151289;1;Pago;Nota Fiscal;3531757;VENDA DE VEÍCULO;25/09/2009;30/09/2009;4905,88;4905,88;1154460
732;3151290;2;Pago;Nota Fiscal;3531757;VENDA DE VEÍCULO;25/09/2009;25/09/2009;6000;6000;1154460
732;3151291;3;Pago;Nota Fiscal;3531757;VENDA DE VEÍCULO;25/09/2009;25/09/2009;480;480;1154460
732;3152422;1;Pago;Nota Fiscal;3533262;PARCELA NORMAL DE PEÇA;26/09/2009;24/10/2009;37,58;37,58;353996
732;3154081;1;Em aberto;Nota Fiscal;3535189;VENDA DE VEÍCULO;28/09/2009;18/10/2009;400;;1398021
732;3154082;2;Pago;Nota Fiscal;3535189;VENDA DE VEÍCULO;28/09/2009;03/10/2009;4811;4811;1398021
732;3154083;3;Pago;Nota Fiscal;3535189;VENDA DE VEÍCULO;28/09/2009;28/09/2009;170;170;1398021
732;3155897;1;Pago;Nota Fiscal;3537196;PARCELA NORMAL DE PEÇA;29/09/2009;27/10/2009;276,01;276,01;752390
732;3157138;1;Em aberto;Nota Fiscal;3538420;PARCELA NORMAL DE PEÇA;29/09/2009;27/10/2009;38,13;;1101502
732;3157435;1;Pago;Nota Fiscal;3538693;PARCELA NORMAL DE PEÇA;29/09/2009;27/10/2009;350,42;350,42;937297
732;3157436;2;Pago;Nota Fiscal;3538693;PARCELA NORMAL DE PEÇA;29/09/2009;24/11/2009;348;348;937297
732;3157437;3;Pago;Nota Fiscal;3538693;PARCELA NORMAL DE PEÇA;29/09/2009;22/12/2009;348;348;937297
732;3157711;1;Pago;Nota Fiscal;3538950;PARCELA NORMAL DE PEÇA;29/09/2009;27/10/2009;175,85;175,85;1373424
732;3157712;2;Pago;Nota Fiscal;3538950;PARCELA NORMAL DE PEÇA;29/09/2009;24/11/2009;173;173;1373424
732;3157713;3;Pago;Nota Fiscal;3538950;PARCELA NORMAL DE PEÇA;29/09/2009;22/12/2009;173;173;1373424
732;3157949;1;Pago;Nota Fiscal;3539168;PARCELA NORMAL DE PEÇA;29/09/2009;27/10/2009;222,85;222,85;786161
732;3157950;2;Pago;Nota Fiscal;3539168;PARCELA NORMAL DE PEÇA;29/09/2009;24/11/2009;220;220;786161
732;3157951;3;Pago;Nota Fiscal;3539168;PARCELA NORMAL DE PEÇA;29/09/2009;22/12/2009;220;220;786161
732;3158260;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;29/09/2009;29/09/2009;197,65;197,65;1419141
732;3160444;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;30/09/2009;05/10/2009;135;135;1416139
732;3161825;1;Pago;Nota Fiscal;3543650;VENDA DE VEÍCULO;30/09/2009;05/10/2009;6840;6840;1421659
732;3162287;1;Pago;Nota Fiscal;3544157;PARCELA NORMAL DE PEÇA;01/10/2009;29/10/2009;109,33;109,33;1038118
732;3162452;1;Pago;Nota Fiscal;3544362;PARCELA NORMAL DE PEÇA;01/10/2009;29/10/2009;58,95;58,95;784878
732;3162453;2;Pago;Nota Fiscal;3544362;PARCELA NORMAL DE PEÇA;01/10/2009;26/11/2009;58;58;784878
732;3162517;1;Pago;Nota Fiscal;3544440;PARCELA NORMAL DE PEÇA;01/10/2009;29/10/2009;129,03;129,03;941160
732;3163540;1;Pago;Nota Fiscal;3545395;PARCELA NORMAL DE PEÇA;01/10/2009;29/10/2009;499,13;499,13;26750
732;3163541;2;Pago;Nota Fiscal;3545395;PARCELA NORMAL DE PEÇA;01/10/2009;26/11/2009;499;499;26750
732;3163542;3;Pago;Nota Fiscal;3545395;PARCELA NORMAL DE PEÇA;01/10/2009;24/12/2009;499;499;26750
732;3163690;1;Pago;Nota Fiscal;3545509;PARCELA NORMAL DE PEÇA;01/10/2009;29/10/2009;284,36;284,36;1080317
732;3163691;2;Pago;Nota Fiscal;3545509;PARCELA NORMAL DE PEÇA;01/10/2009;26/11/2009;282;282;1080317
732;3163692;3;Pago;Nota Fiscal;3545509;PARCELA NORMAL DE PEÇA;01/10/2009;24/12/2009;282;282;1080317
732;3165488;1;Pago;Nota Fiscal;3547510;VENDA DE VEÍCULO;02/10/2009;02/10/2009;175;175;1422442
732;3165489;2;Pago;Nota Fiscal;3547510;VENDA DE VEÍCULO;02/10/2009;07/10/2009;6450;6450;1422442
732;3165490;3;Pago;Nota Fiscal;3547510;VENDA DE VEÍCULO;02/10/2009;02/10/2009;175;175;1422442
732;3165673;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;02/10/2009;24/11/2009;175;175;1422442
732;3165675;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;02/10/2009;24/10/2009;175;175;1422442
732;3165693;0;Em aberto;Antecipações;;Recebimento antecipado;02/10/2009;02/10/2009;-816;;1421640
732;3165697;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;02/10/2009;30/10/2009;408;408;1421640
732;3165699;1;Em aberto;Cheque;;RECEBIMENTO DE CHEQUE ;02/10/2009;30/11/2009;408;0;1421640
732;3166611;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;03/10/2009;07/10/2009;291,15;291,15;1382080
732;3166612;1;Em aberto;Cheque;;RECEBIMENTO DE CHEQUE;03/10/2009;07/02/2010;290,8;;1382080
732;3166613;1;Em aberto;Cheque;;RECEBIMENTO DE CHEQUE ;03/10/2009;07/01/2010;290,8;;1382080
732;3166614;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;03/10/2009;07/12/2009;290,8;290,8;1382080
732;3166615;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE;03/10/2009;07/11/2009;290,8;290,8;1382080
732;3166714;1;Pago;Nota Fiscal;3548923;VENDA DE VEÍCULO;03/10/2009;03/10/2009;640;640;1419984
732;3166715;2;Pago;Nota Fiscal;3548923;VENDA DE VEÍCULO;03/10/2009;08/10/2009;5296;5296;1419984
732;3166716;3;Pago;Nota Fiscal;3548923;VENDA DE VEÍCULO;03/10/2009;23/10/2009;245;245;1419984
732;3167595;1;Pago;Nota Fiscal;3549970;VENDA DE VEÍCULO;05/10/2009;05/10/2009;1000;1000;1419933
732;3167596;2;Pago;Nota Fiscal;3549970;VENDA DE VEÍCULO;05/10/2009;10/10/2009;1000;1000;1419933
732;3167597;3;Pago;Nota Fiscal;3549970;VENDA DE VEÍCULO;05/10/2009;10/10/2009;4790;4790;1419933
732;3168081;1;Pago;Nota Fiscal;3550560;VENDA DE VEÍCULO;05/10/2009;05/10/2009;8800;8800;982736
732;3168245;1;Pago;Nota Fiscal;3550778;PARCELA NORMAL DE PEÇA;05/10/2009;02/11/2009;305,5;305,5;1009636
732;3168246;2;Pago;Nota Fiscal;3550778;PARCELA NORMAL DE PEÇA;05/10/2009;30/11/2009;305;305;1009636
732;3168247;3;Pago;Nota Fiscal;3550778;PARCELA NORMAL DE PEÇA;05/10/2009;28/12/2009;305;305;1009636
732;3168361;1;Em aberto;Nota Fiscal;3550888;VENDA DE VEÍCULO;05/10/2009;04/11/2009;10950;;1426820
732;3168735;1;Pago;Nota Fiscal;3551272;PARCELA NORMAL DE PEÇA;05/10/2009;02/11/2009;85,71;85,71;1080317
732;3168736;2;Pago;Nota Fiscal;3551272;PARCELA NORMAL DE PEÇA;05/10/2009;30/11/2009;85;85;1080317
732;3168737;3;Pago;Nota Fiscal;3551272;PARCELA NORMAL DE PEÇA;05/10/2009;28/12/2009;85;85;1080317
732;3170646;1;Pago;Nota Fiscal;3553207;PARCELA NORMAL DE PEÇA;06/10/2009;03/11/2009;96,25;96,25;212006
732;3170687;1;Pago;Nota Fiscal;3553244;PARCELA NORMAL DE PEÇA;06/10/2009;03/11/2009;264;264;924687
732;3170688;2;Pago;Nota Fiscal;3553244;PARCELA NORMAL DE PEÇA;06/10/2009;01/12/2009;264;264;924687
732;3170689;3;Pago;Nota Fiscal;3553244;PARCELA NORMAL DE PEÇA;06/10/2009;29/12/2009;264;264;924687
732;3170770;1;Pago;Nota Fiscal;3553350;PARCELA NORMAL DE PEÇA;06/10/2009;03/11/2009;274,23;274,23;752390
732;3170771;1;Pago;Nota Fiscal;3553351;PARCELA NORMAL DE PEÇA;06/10/2009;03/11/2009;254,54;254,54;1133025
732;3170815;1;Em aberto;Nota Fiscal;3553404;VENDA DE VEÍCULO;06/10/2009;05/11/2009;6945;;1426820
732;3170944;1;Pago;Nota Fiscal;3553563;VENDA DE VEÍCULO;06/10/2009;06/10/2009;5700;5700;222136
732;3171498;1;Pago;Nota Fiscal;3554051;PARCELA NORMAL DE PEÇA;06/10/2009;03/11/2009;298,28;298,28;784878
732;3171499;2;Pago;Nota Fiscal;3554051;PARCELA NORMAL DE PEÇA;06/10/2009;01/12/2009;298;298;784878
732;3171599;1;Pago;Cheque;;RECEBIMENTO DE CHEQUE ;06/10/2009;06/10/2009;75;75;1226540
732;3171886;1;Pago;Nota Fiscal;3554460;PARCELA NORMAL DE PEÇA;06/10/2009;03/11/2009;196;196;884077
732;3171891;2;Pago;Nota Fiscal;3554460;PARCELA NORMAL DE PEÇA;06/10/2009;01/12/2009;194;194;884077
732;3171892;3;Pago;Nota Fiscal;3554460;PARCELA NORMAL DE PEÇA;06/10/2009;29/12/2009;194;194;884077
732;3173758;1;Pago;Nota Fiscal;3556620;PARCELA NORMAL DE PEÇA;07/10/2009;04/11/2009;138,52;138,52;1430260
732;3173759;2;Pago;Nota Fiscal;3556620;PARCELA NORMAL DE PEÇA;07/10/2009;02/12/2009;138;138;1430260
732;3173976;1;Pago;Nota Fiscal;3556800;PARCELA NORMAL DE PEÇA;07/10/2009;04/11/2009;51,13;51,13;784878
732;3174267;1;Pago;Nota Fiscal;3557068;PARCELA NORMAL DE PEÇA;07/10/2009;04/11/2009;89;89;342971
732;3174269;1;Pago;Nota Fiscal;3557069;VENDA DE VEÍCULO;07/10/2009;12/10/2009;11500;11500;1426247
732;3174460;1;Pago;Nota Fiscal;3557279;PARCELA NORMAL DE PEÇA;07/10/2009;04/11/2009;204,26;204,26;212005
732;3175103;1;Em aberto;Nota Fiscal;3557986;PARCELA NORMAL DE PEÇA;08/10/2009;05/11/2009;264;;1008916
732;3175104;2;Em aberto;Nota Fiscal;3557986;PARCELA NORMAL DE PEÇA;08/10/2009;03/12/2009;264;;1008916
732;3175105;3;Em aberto;Nota Fiscal;3557986;PARCELA NORMAL DE PEÇA;08/10/2009;31/12/2009;264;;1008916
732;3175637;1;Pago;Nota Fiscal;3558505;PARCELA NORMAL DE PEÇA;08/10/2009;05/11/2009;198,56;198,56;916279
732;3175638;2;Pago;Nota Fiscal;3558505;PARCELA NORMAL DE PEÇA;08/10/2009;03/12/2009;196;196;916279
732;3175639;3;Pago;Nota Fiscal;3558505;PARCELA NORMAL DE PEÇA;08/10/2009;31/12/2009;196;196;916279
732;3175796;1;Em aberto;Nota Fiscal;3558749;PARCELA NORMAL DE PEÇA;08/10/2009;05/11/2009;264;;1349283
732;3175799;2;Em aberto;Nota Fiscal;3558749;PARCELA NORMAL DE PEÇA;08/10/2009;03/12/2009;264;;1349283
732;3175800;3;Em aberto;Nota Fiscal;3558749;PARCELA NORMAL DE PEÇA;08/10/2009;31/12/2009;264;;1349283
732;3176673;1;Pago;Nota Fiscal;3559623;VENDA DE VEÍCULO;08/10/2009;08/10/2009;18500;18500;826596
732;3176674;2;Em aberto;Nota Fiscal;3559623;VENDA DE VEÍCULO;08/10/2009;13/10/2009;18000;;826596
732;3177817;1;Pago;Nota Fiscal;3560754;PARCELA NORMAL DE PEÇA;09/10/2009;06/11/2009;83,28;83,28;908656
